name,year,selling_price,fuel,km_driven,seller_type,transmission,owner,seats,engine_value,max_power_value,mileage_value
Maruti Alto 800 VXI,2020,250999,Petrol,30000,Individual,Manual,First Owner,5,796,47.30,22.05
Maruti Celerio X ZXI,2020,250000,Petrol,120000,Individual,Manual,Second Owner,5,998,67.00,21.63
Maruti Wagon R LXI,2020,265000,Petrol,70000,Individual,Manual,Second Owner,5,998,67.05,21.79
Volkswagen Polo 1.5 TDI Comfortline,2020,260000,Diesel,50000,Individual,Manual,First Owner,5,1498,88.50,20.14
Maruti Alto 800 LXI,2020,350000,Petrol,5000,Individual,Manual,First Owner,5,796,47.30,22.05
Hyundai Grand i10 Sportz,2020,330000,Petrol,70000,Individual,Manual,Second Owner,5,1197,81.86,18.90
Maruti Alto 800 VXI,2020,360000,Petrol,5000,Individual,Manual,First Owner,5,796,47.30,22.05
Datsun RediGO 1.0 S,2020,350000,Petrol,2136,Individual,Manual,First Owner,5,999,67.00,22.50
Maruti Alto 800 VXI Plus,2020,370000,Petrol,15000,Individual,Manual,First Owner,5,796,47.30,22.05
Hyundai Xcent 1.2 VTVT E,2020,360000,Petrol,65000,Individual,Manual,Second Owner,5,1197,81.86,20.14
Maruti Alto K10 VXI,2020,390000,Petrol,6000,Individual,Manual,First Owner,5,998,67.05,23.95
Ford Freestyle Titanium Petrol BSIV,2020,400000,Petrol,5000,Individual,Manual,Second Owner,5,1194,94.68,19.00
Maruti Celerio ZXI,2020,420000,Petrol,25000,Individual,Manual,First Owner,5,998,67.04,21.63
Maruti Eeco 5 Seater AC BSIV,2020,415000,Petrol,15000,Individual,Manual,First Owner,5,1196,73.00,15.37
Maruti Swift LXI,2020,445000,Petrol,1000,Individual,Manual,First Owner,5,1197,81.80,21.21
Datsun GO T Option,2020,450000,Petrol,10000,Individual,Manual,First Owner,5,1198,67.05,19.02
Maruti Celerio VXI,2020,475000,Petrol,13000,Individual,Manual,First Owner,5,998,67.04,21.63
Mahindra KUV 100 D75 K6 Plus,2020,480000,Diesel,44665,Individual,Manual,First Owner,6,1198,77.00,25.32
Hyundai Santro Magna,2020,500000,Petrol,1000,Individual,Manual,First Owner,5,1086,68.07,20.30
Tata Zest Revotron 1.2 XT,2020,500000,Petrol,40000,Individual,Manual,First Owner,5,1193,88.70,17.57
Tata Tiago 2019-2020 XZ,2020,500000,Petrol,15000,Individual,Manual,First Owner,5,1199,83.83,23.84
Hyundai Xcent 1.2 VTVT SX,2020,524000,Petrol,32000,Individual,Manual,First Owner,5,1197,81.86,20.14
Tata Nexon 1.2 Revotron XM,2020,537000,Petrol,5000,Individual,Manual,First Owner,5,1198,108.50,17.00
